Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Everton v Rangers 16 July 1997,Everton,Challenge Match,Goodison Park,Away,16,July,1997,1997 - 98,2-3,Lose,Eddie Lomas (Manchester),24000,Walter Smith,Antti Niemi,Alec Cleland,Staale Stensaas,Sergio Porrini,Lorenzo Amoruso,Joachim Bjorklund,Rino Gattuso,Ian Ferguson,Marco Negri,Jorge Albertz,Brian Laudrup,Tony Vidmar,Ian Durrant,Gordon Durie,Ally McCoist,Stephen Wright,,,,,,
Stirling Albion v Rangers 19 July 1997,Stirling Albion,Challenge Match,Forthbank Stadium,Away,19,July,1997,1997 - 98,5-0,Win,M Clark (Edinburgh),3800,Walter Smith,Theo Snelders,Stephen Wright,Tony Vidmar,Sergio Porrini,Craig Moore,Barry Ferguson,Gordon Durie,Charlie Miller,Ally McCoist,Ian Durrant,Eric Bo Andersen,Staale Stensaas,Gary Bollan,Paul McKnight,Peter Van Vossen,Michael Stone,,,,,,
GI Gøtu v Rangers 23 July 1997,GI Gøtu,Champions League,Serpugerdi Stadium,Away,23,July,1997,1997 - 98,5-0,Win,Mikko Vuorela (Finland),3000,Walter Smith,Antti Niemi,Alec Cleland,Joachim Bjorklund,Craig Moore,Tony Vidmar,Jorge Albertz,Brian Laudrup,Ian Ferguson,Marco Negri,Jonas Thern,Gordon Durie,Ally McCoist,Stephen Wright,,,,,,,,,
Hearts v Rangers 26 July 1997,Hearts,Challenge Match,Tynecastle Stadium,Away,26,July,1997,1997 - 98,2-3,Lose,M Clark (Edinburgh),9284,Walter Smith,Theo Snelders,Stephen Wright,Staale Stensaas,Sergio Porrini,Tony Vidmar,Ian Durrant,Charlie Miller,Paul Gascoigne,Eric Bo Andersen,Rino Gattuso,Peter Van Vossen,Jorge Albertz,Gary Bollan,Steven Boyack,Paul McKnight,Ally McCoist,,,,,,
Rangers v GI Gøtu 30 July 1997,GI Gøtu,Champions League,Ibrox Stadium,Home,30,July,1997,1997 - 98,6-0,Win,R Lajuks (Latvia),44433,Walter Smith,Antti Niemi,Sergio Porrini,Joachim Bjorklund,Jonas Thern,Tony Vidmar,Craig Moore,Gordon Durie,Paul Gascoigne,Ally McCoist,Marco Negri,Ian Ferguson,Alec Cleland,Jorge Albertz,Ian Durrant,,,,,,,,
Rangers v Hearts 4 August 1997,Hearts,League,Ibrox Stadium,Home,4,August,1997,1997 - 98,3-1,Win,S Dougal (Burnside),48257,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Craig Moore,Joachim Bjorklund,Jonas Thern,Ian Ferguson,Marco Negri,Jorge Albertz,Brian Laudrup,Rino Gattuso,,,,,,,,,,
Hamilton Acas v Rangers 7 August 1997,Hamilton Acas,League Cup,Fir Park,Away,7,August,1997,1997 - 98,1-0,Win,R Tait (East Kilbride),8866,Walter Smith,Theo Snelders,Alec Cleland,Staale Stensaas,Derek McInnes,Gordan Petric,Gary Bollan,Gordon Durie,Charlie Miller,Eric Bo Andersen,Ian Durrant,Rino Gattuso,Ally McCoist,,,,,,,,,,
Gothenburg v Rangers 13 August 1997,Gothenburg,Champions League,Gamla Ullevi Stadium,Away,13,August,1997,1997 - 98,0-3,Lose,M Melo Periera (Portugal),23000,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Joachim Bjorklund,Jonas Thern,Paul Gascoigne,Marco Negri,Jorge Albertz,Gordon Durie,Tony Vidmar,Ian Ferguson,Ally McCoist,,,,,,,,,
Rangers v Falkirk 19 August 1997,Falkirk,League Cup,Ibrox Stadium,Home,19,August,1997,1997 - 98,4-1,Win,W Young (Clarkston),43606,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Craig Moore,Tony Vidmar,Gordon Durie,Ian Ferguson,Ally McCoist,Marco Negri,Charlie Miller,Peter Van Vossen,Rino Gattuso,,,,,,,,,
Rangers v Dundee Utd 23 August 1997,Dundee Utd,League,Ibrox Stadium,Home,23,August,1997,1997 - 98,5-1,Win,K Clark (Paisley),48599,Walter Smith,Andy Goram,Craig Moore,Staale Stensaas,Sergio Porrini,Ian Ferguson,Joachim Bjorklund,Gordon Durie,Paul Gascoigne,Marco Negri,Charlie Miller,Jonas Thern,Rino Gattuso,Alec Cleland,,,,,,,,,
