Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Lennox 19 February 1876,Lennox,Challenge Match,Home,19,February,1876,1875-76,0-1,Lose,Unknown or TBC,Tom Vallance,David Hill,Unknown or TBC,William McNeil,Unknown or TBC,Unknown or TBC,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox v Rangers 11 March 1876,Lennox,Challenge Match,Away,11,March,1876,1875-76,1-3,Lose,John Watt,Tom Vallance,David Hill,William McNeil,Peter McNeil,Moses McNeil,Peter Campbell,James Watson,David Gibb,James Campbell,C Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clydesdale 18 March 1876,Clydesdale,Challenge Match,Home,18,March,1876,1875-76,0-0,Draw,John Watt,Tom Vallance,David Hill,William McNeil,Peter McNeil,Moses McNeil,Peter Campbell,James Watson,David Gibb,James Campbell,C Roche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 2 September 1876,Vale of Leven,Challenge Match,Home,2,September,1876,1876-77,2-1,Win,John Watt,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Eastern 16 September 1876,Eastern,Challenge Match,Home,16,September,1876,1876-77,0-2,Lose,John Watt,Tom Vallance,David Hill,W Tait,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven v Rangers 23 September 1876,Vale of Leven,Challenge Match,Away,23,September,1876,1876-77,0-4,Lose,John Martin,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park Juniors 30 September 1876,Queen's Park Juniors,Scottish Cup,Home,30,September,1876,1876-77,4-1,Win,John Martin,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Northern 7 October 1876,Northern,Challenge Match,Home,7,October,1876,1876-77,3-0,Win,John Watt,Tom Vallance,David Hill,Sam Ricketts,William McNeil,George Gillespie,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Lennox 14 October 1876,Lennox,Challenge Match,Home,14,October,1876,1876-77,0-0,Draw,John Watt,Tom Vallance,Unknown or TBC,Sam Ricketts,Unknown or TBC,Unknown or TBC,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towerhill v Rangers 21 October 1876,Towerhill,Scottish Cup,Away,21,October,1876,1876-77,8-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,Peter McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
